2 3 1  
512 3 1 duplicate
513 3 0 duplicate
513 2 1 duplicate
514 1 0 duplicate
514 0 1 duplicate
515 2 0 duplicate
515 1 1 duplicate
516 0 0 duplicate
516 3 1 duplicate
517 3 0 duplicate
517 2 1 duplicate
518 1 0 duplicate
518 0 1 duplicate
519 2 0 duplicate
519 1 1 duplicate
520 0 0 duplicate
520 3 1 duplicate
521 3 0 duplicate
521 2 1 duplicate
522 1 0 duplicate
522 0 1 duplicate
523 2 0 duplicate
523 1 1 duplicate
524 0 0 duplicate
524 3 1 duplicate
525 3 0 duplicate
525 2 1 duplicate
526 1 0 duplicate
526 0 1 duplicate
527 2 0 duplicate
527 3 1 duplicate
528 0 0 duplicate
528 1 1 duplicate
529 3 0 duplicate
529 2 1 duplicate
530 2 0 duplicate
530 3 1 duplicate
531 1 0 duplicate
531 0 1 duplicate
532 0 0 duplicate
532 1 1 duplicate
533 3 0 duplicate
533 2 1 duplicate
534 2 0 duplicate
534 3 1 duplicate
535 1 0 duplicate
535 0 1 duplicate
536 0 0 duplicate
536 1 1 duplicate
537 3 0 duplicate
537 2 1 duplicate
538 2 0 duplicate
538 3 1 duplicate
539 1 0 duplicate
539 0 1 duplicate
540 0 0 duplicate
540 1 1 duplicate
541 3 0 duplicate
541 2 1 duplicate
542 2 0 duplicate
542 3 1 duplicate
543 1 0 duplicate
543 0 1 duplicate
544 0 0 duplicate
544 1 1 duplicate
545 3 0 duplicate
545 2 1 duplicate
546 2 0 duplicate
546 3 1 duplicate
547 1 0 duplicate
547 0 1 duplicate
548 0 0 duplicate
548 1 1 duplicate
549 3 0 duplicate
549 2 1 duplicate
550 2 0 duplicate
550 3 1 duplicate
551 1 0 duplicate
551 0 1 duplicate
552 0 0 duplicate
552 1 1 duplicate
553 3 0 duplicate
553 2 1 duplicate
554 2 0 duplicate
554 3 1 duplicate
555 1 0 duplicate
555 0 1 duplicate
556 0 0 duplicate
556 1 1 duplicate
557 3 0 duplicate
557 2 1 duplicate
558 2 0 duplicate
558 3 1 duplicate
559 1 0 duplicate
559 0 1 duplicate
560 0 0 duplicate
560 1 1 duplicate
561 3 0 duplicate
561 2 1 duplicate
562 2 0 duplicate
562 3 1 duplicate
563 1 0 duplicate
563 0 1 duplicate
564 0 0 duplicate
564 1 1 duplicate
565 3 0 duplicate
565 2 1 duplicate
566 2 0 duplicate
566 3 1 duplicate
567 1 0 duplicate
567 0 1 duplicate
568 0 0 duplicate
568 1 1 duplicate
569 3 0 duplicate
569 2 1 duplicate
570 2 0 duplicate
570 3 1 duplicate
571 1 0 duplicate
571 0 1 duplicate
572 0 0 duplicate
572 1 1 duplicate
573 3 0 duplicate
573 2 1 duplicate
574 2 0 duplicate
574 3 1 duplicate
575 1 0 duplicate
575 0 1 duplicate
576 0 0 duplicate
576 1 1 duplicate
577 3 0 duplicate
577 2 1 duplicate
578 2 0 duplicate
578 3 1 duplicate
579 1 0 duplicate
579 0 1 duplicate
580 0 0 duplicate
580 1 1 duplicate
581 3 0 duplicate
581 2 1 duplicate
582 2 0 duplicate
582 3 1 duplicate
583 0 0 duplicate
583 0 1 duplicate
584 1 0 duplicate
584 1 1 duplicate
585 3 0 duplicate
585 2 1 duplicate
586 2 0 duplicate
586 3 1 duplicate
587 0 0 duplicate
587 0 1 duplicate
588 1 0 duplicate
588 1 1 duplicate
589 3 0 duplicate
589 2 1 duplicate
590 2 0 duplicate
590 3 1 duplicate
591 0 0 duplicate
591 0 1 duplicate
592 1 0 duplicate
592 1 1 duplicate
593 3 0 duplicate
593 2 1 duplicate
594 0 0 duplicate
594 3 1 duplicate
595 2 0 duplicate
595 0 1 duplicate
596 1 0 duplicate
596 1 1 duplicate
597 3 0 duplicate
597 3 1 duplicate
598 0 0 duplicate
598 2 1 duplicate
599 2 0 duplicate
599 0 1 duplicate
600 1 0 duplicate
600 1 1 duplicate
601 3 0 duplicate
601 3 1 duplicate
602 0 0 duplicate
602 0 1 duplicate
603 2 0 duplicate
603 2 1 duplicate
604 1 0 duplicate
604 1 1 duplicate
605 3 0 duplicate
605 3 1 duplicate
606 0 0 duplicate
606 0 1 duplicate
607 2 0 duplicate
607 1 1 duplicate
608 1 0 duplicate
608 2 1 duplicate
609 3 0 duplicate
609 3 1 duplicate
610 0 0 duplicate
610 0 1 duplicate
611 2 0 duplicate
611 1 1 duplicate
612 1 0 duplicate
